FACILITY,Address,Venue
BACKUS HOSP,"326 Washington St, Norwich, CT 06360",Hospital
BRIDGEPORT CC,"1106 North Avenue, Bridgeport, CT 06604",Correctional
BROOKLYN CI,"59 Hartford Road, Brooklyn, CT 06234",Correctional
CHESHIRE CI,"900 Highland Avenue, Cheshire, CT 06410",Correctional
CORRIGAN CI,"986 Norwich-New London Turnpike, Uncasville, CT 06382",Correctional
D KIMBALL HSP,"320 Pomfret St, Putnam, CT 0620",Hospital
DANBURY HOSP,"24 Hospital Ave, Danbury, CT 06810",Hospital
ENFIELD CI,"289 Shaker Road, POB 1500, Enfield, CT 06082",Correctional
FEDERAL MARSHAL,,
GARNER,"50 Nunnawauk Road, Newtown, CT 06470",Correctional
HARTFORD CC,"177 Weston Street, Hartford, CT 06120",Correctional
HARTFORD HOSP,"80 Seymour St, Hartford, CT 06102",Hospital
JOHNSON HOSP,"201 Chestnut Hill Road, Stafford Springs, CT 06076",Hospital
LAWRENCE HOSP,"365 Montauk Ave, New London, CT 06320",Hospital
MACDOUGALL,"1153 East Street, South Suffield, CT 06080",Correctional
MANSON YI,"42 Jarvis Street, Cheshire, CT 06410",Correctional
MEDICAL HOSP,,
MH-CVH,"PO Box 351, Middletown, CT 06457",Hospital
MH-ST MARY,,
MH-WHITING,,
MH-YALE/N.H.,,
NEW HAVEN CC,"245 Whalley Avenue, POB 8000, New Haven, CT 06511",Correctional
NORTHERN CI,"287 Bilton Road, POB 665, Somers, CT 06071",Correctional
OSBORN CI,"335 Bilton Road, POB 100, Somers, CT 06071",Correctional
ROBINSON CI,"285 Shaker Road, POB 1400, Enfield, CT 06082",Correctional
ST MARYS HOSP,"56 Franklin St, Waterbury, CT 06706",Hospital
ST VINC HOSP,"2800 Main Street, Bridgeport, CT 06606",Hospital
UCONN HOSP,"263 Farmington Ave, Farmington, CT 06030",Hospital
WALKER RC,,
WATERBRY HOSP,"64 Robbins St, Waterbury, CT 06708",Hospital
WILLARD-CYBULSKI CI,"391 Shaker Road, Enfield, CT 06082",Correctional
YALE/N.H.HOSP,"20 York Street, New Haven, CT 06510",Hospital
YORK CI,"201 West Main Street, Niantic, CT 06537",Correctional
