"","DOWNLOAD.DATE","IDENTIFIER","LATEST.ADMISSION.DATE","RACE","GENDER","AGE","BOND.AMOUNT","OFFENSE","FACILITY","DETAINER","max_bail","min_bail","earliest","earliest2","latest","duration1","duration2","for_filter","prior","current","quantile"
"1",2016-07-01,"ZZEBBEWZ","06/17/2016","WHITE","M",63,5000,"ASSAULT, THIRD DEGREE                 AM","CORRIGAN CI","NONE",5000,5000,2016-07-01,2016-06-17,2016-07-13,12,26,"ZZEBBEWZASSAULT, THIRD DEGREE                 AM","in prior to July 1","out",1
"2",2016-07-01,"ZZEBBRZC","06/30/2016","BLACK","M",42,500,"FAILURE TO APPEAR, SECOND DEGREE      AM","HARTFORD CC","NONE",500,500,2016-07-01,2016-06-30,2016-07-01,0,1,"ZZEBBRZCFAILURE TO APPEAR, SECOND DEGREE      AM","in prior to July 1","out",1
"3",2016-07-01,"ZZEBCBHC","06/06/2016","WHITE","M",60,40000,"EVADING RESPONSIBILITY                 M","HARTFORD CC","NONE",40000,40000,2016-07-01,2016-06-06,2016-07-05,4,29,"ZZEBCBHCEVADING RESPONSIBILITY                 M","in prior to July 1","out",3
"4",2016-07-01,"ZZEBCCWL","04/25/2016","HISPANIC","M",44,125000,"CRIMINAL POSSESSION OF A PISTOL       DF","HARTFORD CC","NONE",125000,125000,2016-07-01,2016-04-25,2016-12-20,172,239,"ZZEBCCWLCRIMINAL POSSESSION OF A PISTOL       DF","in prior to July 1","out",4
"5",2016-07-01,"ZZEBCHBZ","06/21/2016","HISPANIC","M",58,2500,"BREACH OF PEACE                       BM","CORRIGAN CI","NONE",2500,2500,2016-07-01,2016-06-21,2016-07-01,0,10,"ZZEBCHBZBREACH OF PEACE                       BM","in prior to July 1","out",1
"6",2016-07-01,"ZZEBCHHE","06/10/2016","BLACK","F",48,50600,"VIOLATION OF PROBATION OR COND DISCHG","YORK CI","NONE",50600,600,2016-07-01,2016-06-10,2016-07-20,19,40,"ZZEBCHHEVIOLATION OF PROBATION OR COND DISCHG","in prior to July 1","out",3
"7",2016-07-01,"ZZEBCLLR","04/11/2016","WHITE","M",51,10000,"CARRYING WEAPONS WITHOUT A PERMIT      F","CORRIGAN CI","NONE",10000,10000,2016-07-01,2016-04-11,2016-10-31,122,203,"ZZEBCLLRCARRYING WEAPONS WITHOUT A PERMIT      F","in prior to July 1","out",1
"8",2016-07-01,"ZZEBCLWL","05/17/2016","BLACK","M",46,40000,"STRANGULATION 2ND DEGREE              DF","NEW HAVEN CC","NONE",40000,40000,2016-07-01,2016-05-17,2016-08-11,41,86,"ZZEBCLWLSTRANGULATION 2ND DEGREE              DF","in prior to July 1","out",3
"9",2016-07-01,"ZZEBCSZS","11/05/2015","BLACK","M",51,96000,"ASSAULT, FIRST DEGREE                 BF","HARTFORD CC","NONE",96000,96000,2016-07-01,2015-11-05,2016-12-06,158,397,"ZZEBCSZSASSAULT, FIRST DEGREE                 BF","in prior to July 1","out",3
"10",2016-07-01,"ZZEBCZSB","04/07/2016","WHITE","M",49,85050,"SALE OF CONTROLLED SUBSTANCE           F","HARTFORD CC","NONE",85050,85050,2016-07-01,2016-04-07,2016-09-19,80,165,"ZZEBCZSBSALE OF CONTROLLED SUBSTANCE           F","in prior to July 1","out",3
"11",2016-07-01,"ZZEBECLL","02/17/2016","HISPANIC","F",46,750050,"ARSON, FIRST DEGREE                   AF","YORK CI","NONE",750050,750050,2016-07-01,2016-02-17,2016-10-26,117,252,"ZZEBECLLARSON, FIRST DEGREE                   AF","in prior to July 1","out",4
