"","AMER IND","ASIAN","BLACK","HISPANIC","WHITE"
"1",1,12,967,698,1303
"2",0,4,628,125,663
"3",0,56,764,251,944
"4",0,0,569,338,501
"5",0,0,332,317,424
"6",0,0,560,219,401
"7",12,88,506,424,860
"8",0,0,326,280,506
"9",9,8,212,264,439
"10",0,10,668,104,460
"11",0,0,439,181,392
"12",0,0,284,212,415
"13",0,12,280,251,226
"14",0,0,468,488,714
"15",0,0,247,286,307
"16",16,0,334,520,394
"17",0,8,429,323,626
"18",0,0,361,243,400
"19",0,9,216,245,382
"20",0,0,440,360,401
"21",0,0,1040,596,866
"22",0,22,514,331,574
"23",0,0,151,107,470
"24",0,0,454,389,527
"25",0,24,435,266,645
"26",0,0,256,139,303
"27",0,0,307,152,438
"28",0,27,700,835,1026
"29",28,0,223,701,721
"30",0,0,361,317,587
"31",0,0,619,404,542
"32",0,0,319,526,435
"33",0,0,159,123,541
"34",0,0,488,184,454
"35",0,13,642,661,1199
"36",0,0,346,132,128
"37",0,0,362,308,559
"38",0,0,66,267,326
"39",0,0,484,154,589
"40",0,0,230,276,357
"41",0,0,208,258,251
"42",0,33,673,295,674
"43",0,0,340,114,246
"44",0,0,236,199,389
"45",12,0,543,302,453
"46",0,45,427,239,214
"47",0,0,364,193,230
"48",0,0,184,193,301
"49",0,0,436,476,419
"50",0,0,173,158,377
"51",0,0,249,34,301
"52",0,0,288,211,498
"53",0,0,184,184,347
"54",79,0,251,135,279
"55",0,0,351,229,487
"56",0,67,264,324,488
"57",0,0,455,266,455
"58",0,0,332,275,358
"59",0,0,159,532,359
"60",0,0,205,370,263
"61",0,0,253,99,203
"62",0,43,656,522,622
"63",0,0,463,162,771
"64",0,45,418,47,110
"65",0,0,28,187,381
"66",0,0,308,209,206
"67",0,0,408,291,671
"68",0,0,368,158,377
"69",0,0,230,342,390
"70",49,0,427,382,384
"71",0,0,512,101,307
"72",35,0,432,98,268
"73",0,96,188,247,287
"74",0,0,172,51,262
"75",0,51,264,66,177
"76",0,0,209,269,400
"77",0,0,352,196,306
"78",0,0,413,242,587
"79",0,0,203,289,311
"80",0,43,272,312,373
"81",0,0,198,308,242
"82",0,0,130,214,379
"83",0,0,412,102,415
"84",0,0,189,336,801
"85",0,0,192,321,337
"86",0,0,317,97,225
"87",0,0,227,99,217
"88",50,0,115,187,355
"89",0,0,427,118,52
"90",0,0,370,233,410
"91",0,0,412,628,460
"92",0,0,373,545,423
"93",0,0,436,0,221
"94",0,0,506,113,221
"95",0,0,169,121,0
"96",0,0,117,178,285
"97",0,6,170,304,249
"98",0,0,132,302,667
"99",0,0,135,131,221
"100",0,0,126,148,210
"101",0,0,107,63,177
"102",0,0,215,111,99
"103",0,0,144,12,169
"104",0,0,178,213,154
"105",0,0,166,170,315
"106",0,0,225,67,247
"107",0,0,152,0,279
"108",0,0,39,237,226
"109",0,0,193,71,143
"110",0,0,79,125,182
"111",0,0,0,103,396
"112",0,0,71,213,447
"113",0,0,67,151,303
"114",0,0,76,90,76
"115",0,0,262,0,267
"116",0,0,134,90,106
"117",0,0,24,126,127
"118",0,0,367,70,258
"119",0,0,285,84,317
"120",0,0,165,288,301
"121",0,0,0,93,0
"122",0,0,26,21,67
"123",0,0,85,85,162
"124",0,0,25,0,176
"125",0,0,321,79,341
"126",0,0,163,368,188
"127",0,0,0,89,256
"128",0,0,0,0,174
"129",0,0,91,83,348
"130",0,0,179,0,77
"131",0,0,197,86,159
"132",0,0,86,113,313
"133",0,0,166,198,209
"134",0,0,43,0,0
"135",0,0,54,0,223
"136",0,0,0,98,90
"137",0,0,0,99,184
"138",0,0,91,46,344
"139",0,0,0,93,109
"140",0,0,0,207,265
"141",0,0,188,2,63
"142",0,0,14,191,96
"143",0,0,47,94,96
"144",0,0,248,67,170
"145",0,0,98,45,0
"146",0,0,202,99,0
"147",0,0,200,100,150
"148",0,0,0,0,203
"149",0,0,102,102,102
"150",0,0,0,0,159
"151",0,0,178,0,282
"152",0,0,315,105,91
"153",0,0,107,106,113
"154",0,0,14,108,480
"155",0,0,0,131,217
"156",0,0,50,218,0
"157",0,0,67,0,0
"159",0,0,0,0,112
"160",0,0,0,606,122
"161",0,0,228,0,228
"162",0,0,0,9,0
"163",0,0,0,0,98
"164",0,0,155,0,0
"165",0,0,272,0,0
"167",0,0,0,0,137
"168",0,0,0,121,14
"169",0,0,122,0,0
"170",0,0,123,0,63
"171",0,0,44,0,124
"173",0,0,27,0,0
"175",0,0,0,88,128
"176",0,0,334,0,0
"178",0,0,0,131,0
"179",0,0,0,55,0
"182",0,0,47,0,0
"184",0,0,0,410,69
"185",0,0,0,64,0
